api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
37-081-21197,I_2299690_V_703718,2014,2014,0,Horizontal,Range Resources Appalachia LLC,41.403222,-77.073022,Tank,Overflow,Unknown,Unknown,Saltwater,Flowback,NA,Yes,No,PA
37-081-21197,I_2261514_V_692945,2014,2014,0,Horizontal,Range Resources Appalachia LLC,41.403222,-77.073022,Unknown,NA,Unknown,Unknown,Drilling Waste,Unknown,NA,Yes,No,PA
37-081-21197,I_2305639_V_705301,2014,2014,1,Horizontal,Range Resources Appalachia LLC,41.403222,-77.073022,Tank,Overflow,Unknown,Unknown,Saltwater,Flowback,35,Yes,No,PA
37-081-21214,I_2240910_V_687886,2014,2013,1,Horizontal,Anadarko E&P Onshore LLC,41.358811,-77.309194,Flowline,Leak,Unknown,Human Error,Saltwater,Recycled Water,840,Unknown,Unknown,PA
37-081-21237,I_2236784_V_686788,2014,2013,0,Horizontal,Range Resources Appalachia LLC,41.363119,-77.099925,Unknown,NA,Unknown,Unknown,Saltwater,Produced Water,NA,Yes,No,PA
37-081-21301,I_2325624_V_711565,2014,2014,0,Horizontal,Range Resources Appalachia LLC,41.313081,-77.174225,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Flowback,189,Yes,No,PA
37-081-21351,I_2276594_V_697669,2014,2013,0,Horizontal,Inflection Energy LLC,41.330369,-76.965489,Drill Rig,NA,Unknown,Unknown,Drilling Waste,Drilling Mud,NA,Yes,No,PA
37-081-21357,I_2333288_V_713514,2014,2014,1,Horizontal,Range Resources Appalachia LLC,41.417356,-77.095878,Flowline,Leak,Valve,Equipment Failure,Saltwater,Produced Water,42,Unknown,Unknown,PA
37-081-21370,I_2277742_V_697955,2014,2014,0,Horizontal,Range Resources Appalachia LLC,41.379572,-77.122619,Tank,Leak,Unknown,Unknown,Saltwater,Produced Water,NA,Unknown,Unknown,PA
37-081-21408,I_2292639_V_702013,2014,2014,0,Horizontal,Range Resources Appalachia LLC,41.339069,-77.292642,Unknown,NA,Unknown,Unknown,Saltwater,Flowback,2100,Unknown,Unknown,PA
37-081-21446,I_2327340_V_711933,2014,2014,1,Horizontal,Range Resources Appalachia LLC,41.417108,-77.095553,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Flowback,42,Yes,Unknown,PA
37-081-21447,I_2331649_V_713074,2014,2014,1,Horizontal,Range Resources Appalachia LLC,41.417108,-77.095661,Flowline,Leak,Valve,Equipment Failure,Saltwater,Flowback,42,Yes,Unknown,PA
37-081-21483,I_2318471_V_709299,2014,2014,0,Horizontal,Chief Oil & Gas LLC,41.554489,-76.808292,Unknown,NA,Unknown,Human Error,Drilling Waste,Unknown,8,Unknown,Unknown,PA
37-081-21496,I_2326326_V_711689,2014,2014,0,Horizontal,PA Gen Energy Co LLC,41.453806,-77.380094,Flare,NA,Unknown,Unknown,Drilling Waste,Drilling Mud,40,Yes,Unknown,PA
37-083-53843,I_1792521_V_561488,2009,2008,0,Vertical,Chesapeake Appalachia LLC,41.785639,-78.545806,Pit or Tank,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Yes,No,PA
37-083-54188,I_1826156_V_571858,2009,2009,0,Horizontal,PA Gen Energy Co LLC,41.720399,-78.372937,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-54881,I_1972681_V_610964,2011,2010,1,Horizontal,PA Gen Energy Co LLC,41.637331,-78.369969,Pit or Tank,Overflow,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-55023,I_1968155_V_609483,2011,2010,1,Horizontal,Triana Energy LLC,41.882811,-78.613361,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-55281,I_1999373_V_619037,2011,2011,0,Horizontal,Seneca Resources Corp,41.626447,-78.711744,Well Casing,NA,Improper Casing to Protect GW,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-55282,I_1999378_V_619039,2011,2011,0,Horizontal,Seneca Resources Corp,41.626486,-78.711753,Well Casing,NA,Improper Casing to Protect GW,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-55901,I_2186332_V_673476,2013,2012,1,Horizontal,SWEPI LP,41.637933,-78.863731,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-083-56251,I_2254030_V_691006,2014,2013,0,Horizontal,Seneca Resources Corp,41.617658,-78.447372,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-085-24631,I_2305895_V_705363,2014,2012,1,Horizontal,Halcon Oper Co Inc,41.365528,-80.463551,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-085-24632,I_2173660_V_669970,2013,2012,1,Horizontal,Halcon Oper Co Inc,41.387746,-80.512653,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-085-24642,I_2226039_V_684226,2013,2012,1,Vertical,SWEPI LP,41.320719,-80.217461,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-085-24669,I_2304170_V_704991,2014,2013,1,Horizontal,Chevron Appalachia LLC,41.257911,-80.365947,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
37-085-24677,I_2236685_V_686756,2014,2013,0,Horizontal,Hilcorp Energy Co,41.288,-80.310378,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21298,I_1769036_V_556286,2009,2008,0,Horizontal,PA Gen Energy Co LLC,41.614847,-77.876404,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,No,PA
37-105-21391,I_1713835_V_541406,2008,2007,1,Vertical,JJ Bucher Producing Corp,41.780098,-78.142968,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,No,PA
37-105-21392,I_1662440_V_526656,2007,2007,0,Vertical,JJ Bucher Producing Corp,41.787142,-78.167436,Improper Disposal,NA,Untreated Discharge,Human Error,Drilling Waste,tophole water,NA,Unknown,Unknown,PA
37-105-21392,I_1880560_V_586083,2010,2007,2,Vertical,JJ Bucher Producing Corp,41.787142,-78.167436,Improperly Stored,NA,Encapsulation,Human Error,Drilling Waste,Drill Cuttings,NA,Unknown,Unknown,PA
37-105-21423,I_1880580_V_586091,2010,2007,3,Vertical,JJ Bucher Producing Corp,41.791945,-78.167233,Unknown,NA,Unknown,Unknown,Crude Oil,Unknown,NA,Yes,Unknown,PA
37-105-21435,I_1799061_V_563187,2009,2008,1,Vertical,SWEPI LP,41.874251,-77.664896,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Yes,Unknown,PA
37-105-21588,I_1822191_V_569864,2009,2009,0,Horizontal,PA Gen Energy Co LLC,41.84683,-78.156321,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21590,I_1875137_V_584602,2010,2009,1,Horizontal,PA Gen Energy Co LLC,41.591943,-77.968124,Improperly Stored,NA,Encapsulation,Human Error,Drilling Waste,Drill Cuttings,NA,Unknown,Unknown,PA
37-105-21590,I_1852775_V_578720,2009,2009,0,Horizontal,PA Gen Energy Co LLC,41.591943,-77.968124,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Yes,Unknown,PA
37-105-21590,I_1875137_V_584601,2010,2009,1,Horizontal,PA Gen Energy Co LLC,41.591943,-77.968124,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21606,I_1852480_V_578585,2009,2009,0,Horizontal,SWEPI LP,41.672928,-77.605579,Pit,Leak,Improperly Lined,Human Error,Drilling Waste,Drilling Mud,NA,Yes,Unknown,PA
37-105-21606,I_1860424_V_580601,2010,2009,0,Horizontal,SWEPI LP,41.672928,-77.605579,Pit,Leak,Improperly Lined,Human Error,Drilling Waste,Unknown,NA,Unknown,Unknown,PA
37-105-21606,I_1852312_V_578528,2009,2009,0,Horizontal,SWEPI LP,41.672928,-77.605579,Pit,Leak,Improperly Lined,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21606,I_1860424_V_580602,2010,2009,0,Horizontal,SWEPI LP,41.672928,-77.605579,Pit or Tank,Overflow,Freeboard Violation,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21612,I_1954156_V_605795,2011,2010,1,Horizontal,SWEPI LP,41.672916,-77.60567,Unknown,NA,Unknown,Unknown,Saltwater,Produced Water,NA,No,Yes,PA
37-105-21612,I_2002392_V_620077,2011,2010,2,Horizontal,SWEPI LP,41.672916,-77.60567,Tank,NA,Unknown,Unknown,Saltwater,Produced Water,NA,Unknown,Unknown,PA
37-105-21613,I_1923963_V_598339,2010,2010,1,Horizontal,SWEPI LP,41.685283,-77.603437,Unknown,NA,Unknown,Unknown,Unknown,Unknown,NA,Yes,No,PA
37-105-21613,I_1937832_V_601588,2010,2010,1,Horizontal,SWEPI LP,41.685283,-77.603437,Tank,Leak,Unknown,Human Error,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21615,I_1852397_V_578568,2009,2009,0,Horizontal,SWEPI LP,41.685347,-77.603404,Pit,Leak,Liner Tear,Equipment Failure,Unknown,Unknown,NA,Unknown,Unknown,PA
37-105-21615,I_1860437_V_580614,2010,2009,0,Horizontal,SWEPI LP,41.685347,-77.603404,Pit,Leak,Not structurally sound,Unknown,Unknown,Unknown,NA,Unknown,Unknown,PA
