api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
05-045-22108,2147529,2014,2013,0,Directional,Ursa Operating LLC,39.420907,-108.060322,Grinder System,Overflow,Unknown,Human Error,Drilling Waste,Drilling Fluids,210,No,No,CO
05-045-21666,2147628,2014,2013,1,Directional,WPX Energy Rocky Mountain LLC,39.490194,-107.918704,Transport,Leak,Loading/Unloading,Human Error,Saltwater,Unknown,2940,No,Yes,CO
05-045-16111,2147634,2014,2008,5,Vertical,WPX Energy Rocky Mountain LLC,39.509046,-107.52429,Tank,Overflow,Froze,Environmental Conditions,Saltwater,Unknown,29820,No,Yes,CO
05-103-11788,2147636,2014,2013,1,Directional,WPX Energy Rocky Mountain LLC,39.946904,-108.362603,Transport,Leak,Loading/Unloading,Equipment Failure,Saltwater,Unknown,294,No,No,CO
05-045-17131,2147640,2013,2009,5,Vertical,WPX Energy Rocky Mountain LLC,39.487038,-107.930224,Flowline,Leak,Corrosion,Equipment Failure,Condensate,Unknown,546,No,No,CO
05-103-11518,2147649,2013,2010,3,Directional,WPX Energy Rocky Mountain LLC,39.792908,-108.280582,Flowline,Leak,Froze,Environmental Conditions,Saltwater,Unknown,13020,No,No,CO
05-045-20746,2147838,2014,2011,2,Vertical,WPX Energy Rocky Mountain LLC,39.485382,-107.835537,Flowline,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,NA,No,No,CO
05-103-10510,2147973,2014,2004,9,Directional,XTO Energy Inc,39.88289,-108.2926,Tank,Overflow,Unknown,Equipment Failure,Condensate,Unknown,630,No,Yes,CO
05-123-31420,2213092,2011,2010,1,Horizontal,Noble Energy Inc,40.57866,-104.505313,Stuffing Box,NA,Polish Rod,Human Error,Oil & Hydraulic Fracture Solution,Unknown,441,No,No,CO
05-077-09608,2213431,2011,2008,2,Directional,Piceance Energy LLC,39.264058,-107.744889,Unknown,NA,Valve - Froze,Environmental Conditions,Saltwater,Unknown,3360,No,Yes,CO
05-103-10955,2213619,2011,2007,4,Vertical,XTO Energy Inc,39.951965,-108.079929,Flowline,Leak,Valve,Human Error,Saltwater,Unknown,1596,No,Yes,CO
05-045-14263,2213639,2011,2007,4,Directional,Vanguard Operating LLC,39.50439,-107.67603,Flowline,Leak,Unknown,Human Error,Saltwater,Unknown,630,No,No,CO
