file_no,api,operator,depth_ft,spudyr,latitude,longitude,status,direction,state
26611,33-053-05335,Newfield Production Company,21203,2014,47.73217885,-103.182619,Active,Horizontal,ND
27106,33-025-02368,HRC Operating LLC,20450,2014,47.60369224,-102.6473479,Active,Horizontal,ND
26683,33-105-03242,Zavanna LLC,21490,2014,48.11026797,-103.4055913,Active,Horizontal,ND
26686,33-105-03245,Zavanna LLC,21490,2014,48.11026841,-103.4052227,Active,Horizontal,ND
27758,33-061-02984,EOG Resources Inc,18527,2014,47.97658021,-102.202787,Active,Horizontal,ND
26478,33-023-01106,Murex Petroleum Corp,18425,2014,48.80705195,-103.8229872,Active,Horizontal,ND
29369,33-105-03754,Continental Resources Inc,20792,2014,48.22763526,-103.298964,Active,Horizontal,ND
21787,33-025-01519,Enerplus Resources USA Corp,19700,2014,47.62867931,-102.4981892,Active,Horizontal,ND
27105,33-025-02367,HRC Operating LLC,20542,2014,47.60369229,-102.6474696,Active,Horizontal,ND
29084,33-025-02639,WPX Energy Williston LLC,21322,2014,47.76974986,-102.5979203,Not Completed,Horizontal,ND
29085,33-025-02640,WPX Energy Williston LLC,21425,2014,47.76973644,-102.5981238,Not Completed,Horizontal,ND
23928,33-025-01879,OXY USA Inc,20707,2014,46.99617435,-102.8893163,Active,Horizontal,ND
23695,33-089-00733,Fidelity Exploration and Production Company,20002,2014,46.8895077,-103.0148123,Active,Horizontal,ND
23481,33-053-04283,WPX Energy Williston LLC,20900,2014,47.84835337,-102.7627735,Active,Horizontal,ND
24912,33-053-04771,Whiting Oil and Gas Corp,21229,2014,47.99385538,-103.7265883,Active,Horizontal,ND
29338,33-105-03742,Whiting Oil and Gas Corp,20440,2014,48.34401688,-103.1049785,Active,Horizontal,ND
29340,33-053-06245,Whiting Oil and Gas Corp,20620,2014,47.93659507,-103.407635,Active,Horizontal,ND
29302,33-053-06229,Continental Resources Inc,20525,2014,47.93613399,-103.7793906,Active,Horizontal,ND
28621,33-061-03153,Slawson Exploration Company Inc,19990,2014,47.95010714,-102.4884069,Active,Horizontal,ND
27050,33-053-05494,Whiting Oil and Gas Corp,21092,2014,47.73121135,-103.3797628,Active,Horizontal,ND
24916,33-105-03000,Petro-Hunt LLC,16009,2014,48.16962175,-103.4215945,Active,Horizontal,ND
24832,33-025-02045,Petro-Hunt LLC,21426,2014,47.35852041,-103.0714643,Active,Horizontal,ND
26496,33-105-03220,Hess Bakken Investments II LLC,19825,2014,48.51851548,-103.3212297,Active,Horizontal,ND
27772,33-105-03442,Hess Bakken Investments II LLC,19033,2014,48.26142481,-102.9533694,Active,Horizontal,ND
27773,33-105-03443,Hess Bakken Investments II LLC,18903,2014,48.26151527,-102.95337,Active,Horizontal,ND
29397,33-075-01472,Enduro Operating LLC,8608,2014,48.66878352,-101.5610921,Active,Horizontal,ND
27832,33-061-03000,Continental Resources Inc,1995,2014,48.10468468,-102.6792158,Dry,Horizontal,ND
26316,33-089-00808,Whiting Oil and Gas Corp,20319,2014,46.86258212,-103.1123637,Active,Horizontal,ND
26068,33-025-02220,Whiting Oil and Gas Corp,20842,2014,46.98139674,-102.9553476,Active,Horizontal,ND
29381,33-025-02658,Marathon Oil Company,21156,2014,47.44357558,-102.6717698,Not Completed,Horizontal,ND
28405,33-053-05947,Continental Resources Inc,20747,2014,48.02511496,-103.6522244,Active,Horizontal,ND
26386,33-061-02697,Oasis Petroleum LLC,18820,2014,48.51799446,-102.5673042,Active,Horizontal,ND
26586,33-053-05323,Continental Resources Inc,20706,2014,48.05382413,-103.6651886,Active,Horizontal,ND
26575,33-053-05317,Marathon Oil Company,21062,2014,47.97470354,-102.6036042,Active,Horizontal,ND
28431,33-105-03530,Zavanna LLC,20650,2014,48.25671163,-103.3977389,Not Completed,Horizontal,ND
23749,33-053-04378,Continental Resources Inc,21150,2014,47.87791226,-103.2897729,Active,Horizontal,ND
27759,33-061-02985,EOG Resources Inc,2035,2014,47.97671727,-102.2027889,Dry,Horizontal,ND
25117,33-053-04838,Continental Resources Inc,20801,2014,47.87620103,-103.5150037,Active,Horizontal,ND
29373,33-053-06252,QEP Energy Company,21229,2014,47.81932538,-102.792851,Active,Horizontal,ND
29374,33-053-06253,QEP Energy Company,20992,2014,47.81935691,-102.7926554,Active,Horizontal,ND
27623,33-053-05673,SM Energy Company,21513,2014,47.94164898,-103.4531524,Active,Horizontal,ND
29385,33-013-01806,Petro-Hunt LLC,19179,2014,48.57401318,-102.7756668,Active,Horizontal,ND
27791,33-053-05717,QEP Energy Company,21515,2014,47.67533919,-102.8410269,Active,Horizontal,ND
27749,33-061-02978,EOG Resources Inc,14873,2014,48.03626061,-102.2621148,Active,Horizontal,ND
27726,33-105-03427,Hunt Oil Company,19680,2014,48.60512012,-103.6970858,Active,Horizontal,ND
26564,33-105-03229,Whiting Oil and Gas Corp,20850,2014,48.25479284,-103.4016841,Active,Horizontal,ND
24091,33-025-01920,Marathon Oil Company,21224,2014,47.4745503,-102.5435371,Active,Horizontal,ND
26606,33-053-05330,Newfield Production Company,21363,2014,47.73192164,-103.1803027,Active,Horizontal,ND
26491,33-053-05288,Newfield Production Company,21469,2014,47.99291411,-103.0282181,Active,Horizontal,ND
26540,33-053-05307,Whiting Oil and Gas Corp,20783,2014,47.6753811,-103.4307365,Active,Horizontal,ND
27825,33-053-05736,Whiting Oil and Gas Corp,21829,2014,47.93308335,-103.3651002,Active,Horizontal,ND
27835,33-007-01825,Whiting Oil and Gas Corp,20489,2014,46.86269696,-103.2600209,Active,Horizontal,ND
26067,33-025-02219,Whiting Oil and Gas Corp,20912,2014,46.98139746,-102.9555281,Active,Horizontal,ND
27732,33-053-05704,Newfield Production Company,20936,2014,47.82042766,-103.4233552,Active,Horizontal,ND
27733,33-053-05705,Newfield Production Company,21608,2014,47.82042783,-103.4235385,Active,Horizontal,ND
28588,33-025-02580,WPX Energy Williston LLC,21163,2014,47.76043107,-102.6164282,Active,Horizontal,ND
28589,33-025-02581,WPX Energy Williston LLC,21215,2014,47.76051331,-102.6162647,Active,Horizontal,ND
29330,33-053-06239,Triangle USA Petroleum Company,21200,2014,47.79124731,-103.4409098,Active,Horizontal,ND
25996,33-089-00798,Whiting Oil and Gas Corp,20560,2014,46.86078415,-103.1179657,Active,Horizontal,ND
27863,33-105-03455,Whiting Oil and Gas Corp,20300,2014,48.14241319,-103.2408957,Active,Horizontal,ND
27864,33-105-03456,Whiting Oil and Gas Corp,20461,2014,48.14176127,-103.2395767,Active,Horizontal,ND
27731,33-053-05703,Newfield Production Company,21734,2014,47.82042749,-103.4231718,Active,Horizontal,ND
24157,33-007-01761,Whiting Oil and Gas Corp,20600,2014,46.94757421,-103.2873075,Active,Horizontal,ND
26667,33-053-05363,Emerald Oil Inc,20042,2014,47.67565688,-103.752684,Active,Horizontal,ND
22228,33-061-02000,Slawson Exploration Company Inc,20290,2014,47.97894029,-102.3812273,Active,Horizontal,ND
27626,33-061-02958,Hess Bakken Investments II LLC,2350,2014,48.3713805,-102.6372261,Temporarily Abandoned,Horizontal,ND
28164,33-025-02513,OXY USA Inc,21011,2014,47.18402482,-102.8771161,Active,Horizontal,ND
29083,33-025-02638,WPX Energy Williston LLC,21100,2014,47.76976328,-102.5977168,Not Completed,Horizontal,ND
24156,33-053-04506,Whiting Oil and Gas Corp,20975,2014,47.93624981,-103.372701,Active,Horizontal,ND
26318,33-013-01734,Oasis Petroleum LLC,18882,2014,48.719991,-102.6780217,Active,Horizontal,ND
27839,33-025-02489,Marathon Oil Company,21094,2014,47.58747887,-102.6686993,Active,Horizontal,ND
28611,33-061-03148,Whiting Oil and Gas Corp,20505,2014,48.07280651,-102.5676333,Active,Horizontal,ND
27057,33-023-01132,Hunt Oil Company,19068,2014,48.63424513,-103.6751941,Active,Horizontal,ND
27865,33-105-03457,Whiting Oil and Gas Corp,20667,2014,48.14170057,-103.239664,Active,Horizontal,ND
27858,33-061-03008,EOG Resources Inc,22317,2014,47.99319553,-102.2170349,Active,Horizontal,ND
27859,33-061-03009,EOG Resources Inc,22647,2014,47.99319496,-102.2172393,Active,Horizontal,ND
27035,33-061-02822,EOG Resources Inc,18602,2014,47.97936194,-102.1839347,Active,Horizontal,ND
26063,33-025-02218,Marathon Oil Company,21145,2014,47.56048237,-102.5117973,Active,Horizontal,ND
26041,33-053-05146,Continental Resources Inc,21642,2014,47.99435071,-103.4246752,Not Completed,Horizontal,ND
26394,33-061-02701,Continental Resources Inc,21142,2014,48.01915263,-102.5718468,Active,Horizontal,ND
26452,33-053-05268,Continental Resources Inc,21057,2014,47.99191623,-103.3721513,Active,Horizontal,ND
21539,33-053-03786,Enerplus Resources USA Corp,20954,2014,47.7615877,-102.7373135,Active,Horizontal,ND
23807,33-105-02808,Continental Resources Inc,21046,2014,48.25633148,-103.2982514,Active,Horizontal,ND
28137,33-061-03078,WPX Energy Williston LLC,20410,2014,47.82394325,-102.3863957,Active,Horizontal,ND
23684,33-025-01847,WPX Energy Williston LLC,19592,2014,47.70455038,-102.6117256,Active,Horizontal,ND
26530,33-053-05299,Continental Resources Inc,20635,2014,47.90721865,-103.5102526,Active,Horizontal,ND
26596,33-061-02748,QEP Energy Company,20058,2014,47.94606001,-102.4482469,Active,Horizontal,ND
26597,33-061-02749,QEP Energy Company,19969,2014,47.94598325,-102.4482463,Active,Horizontal,ND
28130,33-053-05809,QEP Energy Company,15968,2014,47.71812887,-102.8825931,Active,Horizontal,ND
27836,33-025-02486,Marathon Oil Company,21391,2014,47.58728278,-102.6684222,Active,Horizontal,ND
23682,33-025-01845,WPX Energy Williston LLC,20877,2014,47.70445135,-102.6113475,Active,Horizontal,ND
23015,33-105-02637,Continental Resources Inc,20972,2014,48.25602447,-103.2679388,Active,Horizontal,ND
26531,33-053-05300,Continental Resources Inc,20835,2014,47.90715352,-103.510098,Active,Horizontal,ND
