api,operator,direction,latitude,longitude,spudyr
05-045-11246,Encana Oil & Gas Inc,Directional,39.582732,-108.089255,2006
05-045-11288,Berry Petroleum,Directional,39.610967,-108.03815,2006
05-045-11350,Berry Petroleum,Directional,39.607815,-108.064127,2006
05-045-11404,Linn Operating Inc,Directional,39.586476,-108.21375,2006
05-045-11434,Vanguard Operating LLC,Directional,39.48831,-107.61502,2006
05-045-11435,Vanguard Operating LLC,Directional,39.48828,-107.61491,2006
05-045-11436,Vanguard Operating LLC,Directional,39.4883,-107.61497,2006
05-045-11439,Encana Oil & Gas Inc,Directional,39.58871,-108.06071,2006
05-045-11511,Piceance Energy LLC,Directional,39.5139,-107.81227,2006
05-045-11517,Piceance Energy LLC,Directional,39.51391,-107.81211,2006
05-045-11532,Piceance Energy LLC,Directional,39.49192,-107.82281,2006
05-045-11560,Encana Oil & Gas Inc,Directional,39.607716,-108.144809,2006
05-045-11610,WPX Energy Rocky Mountain LLC,Directional,39.480726,-108.070967,2006
05-045-11682,Williams Production Company,Directional,39.475698,-107.976269,2006
05-045-11733,Caerus Piceance LLC,Directional,39.55839,-108.11797,2006
05-045-11817,OXY USA WTP LP,Directional,39.499798,-108.24189,2006
05-045-11837,Encana Oil & Gas Inc,Directional,39.561486,-108.111708,2006
05-045-11963,OXY USA WTP LP,Directional,39.470613,-108.244066,2006
05-045-12003,Encana Oil & Gas Inc,Directional,39.578134,-108.11048,2006
05-045-12010,OXY USA WTP LP,Directional,39.503078,-108.243911,2006
05-045-12085,OXY USA WTP LP,Directional,39.50966,-108.24485,2006
05-045-12124,Ursa Operating LLC,Directional,39.538952,-107.69749,2006
05-045-12148,Caerus Piceance LLC,Directional,39.54867,-108.11992,2006
05-045-12220,OXY USA WTP LP,Directional,39.5243,-108.2252,2006
05-045-12221,OXY USA WTP LP,Directional,39.525281,-108.200332,2006
05-045-12226,OXY USA WTP LP,Directional,39.52413,-108.22517,2006
05-045-12254,Ursa Operating LLC,Directional,39.45629,-107.59405,2006
05-045-12258,Dolphin Energy Inc,Directional,39.56524,-107.76659,2006
05-045-12270,Williams Production Company,Directional,39.6026,-108.28227,2006
05-045-12270,Williams Production Company,Directional,39.6026,-108.28227,2006
05-045-12306,Dolphin Energy Inc,Directional,39.5611,-107.76437,2006
05-045-12317,Encana Oil & Gas Inc,Directional,39.551728,-108.112256,2006
05-045-12319,Encana Oil & Gas Inc,Directional,39.55173,-108.11236,2006
05-045-12395,Ursa Operating LLC,Directional,39.531838,-107.733588,2006
05-045-12454,OXY USA WTP LP,Directional,39.551437,-108.245431,2006
05-045-12457,OXY USA WTP LP,Directional,39.55157,-108.245332,2006
05-045-12481,Windsor Energy Group LLC,Directional,39.45619,-107.59763,2006
05-045-12538,Dolphin Energy Inc,Directional,39.52425,-107.66613,2006
05-045-12662,WPX Energy Rocky Mountain LLC,Directional,39.475601,-108.07093,2006
05-045-12913,Linn Operating Inc,Directional,39.604025,-108.067664,2006
05-045-12982,Dolphin Energy Inc,Directional,39.52437,-107.6661,2006
05-045-12983,Dolphin Energy Inc,Directional,39.52433,-107.66611,2006
05-045-13235,Caerus Piceance LLC,Directional,39.55083,-108.11447,2006
05-077-08981,Encana Oil & Gas Inc,Directional,39.35203,-108.07958,2006
05-077-09086,OXY USA Inc,Directional,39.235944,-107.909472,2006
05-077-09128,Piceance Energy LLC,Directional,39.23612,-107.74874,2006
05-103-10540,Encana Oil & Gas Inc,Directional,39.7079,-108.37573,2006
05-103-10592,Exxon Mobil Corp,Directional,39.89675,-108.245083,2006
05-103-10592,Exxon Mobil Corp,Directional,39.89675,-108.245083,2006
05-103-10606,XTO Energy Inc,Directional,39.94327,-108.19357,2006
05-103-10625,XTO Energy Inc,Directional,39.891224,-108.251117,2006
05-103-10626,XTO Energy Inc,Directional,39.891268,-108.251097,2006
05-103-10627,XTO Energy Inc,Directional,39.891308,-108.251082,2006
05-103-10650,XTO Energy Inc,Directional,39.905395,-108.250763,2006
05-103-10651,XTO Energy Inc,Directional,39.905382,-108.250812,2006
05-103-10656,XTO Energy Inc,Directional,39.905251,-108.261991,2006
05-103-10658,XTO Energy Inc,Directional,39.905346,-108.261888,2006
05-103-10659,XTO Energy Inc,Directional,39.905377,-108.261854,2006
05-103-10662,XTO Energy Inc,Directional,39.905283,-108.261956,2006
05-103-10690,XTO Energy Inc,Directional,39.852989,-108.292702,2006
05-103-10692,XTO Energy Inc,Directional,39.852952,-108.292712,2006
05-103-10694,XTO Energy Inc,Directional,39.85287,-108.292733,2006
05-103-10696,XTO Energy Inc,Directional,39.852825,-108.292742,2006
05-103-10698,XTO Energy Inc,Directional,39.852907,-108.292723,2006
05-103-10718,XTO Energy Inc,Directional,39.90131,-108.25863,2006
05-103-10719,XTO Energy Inc,Directional,39.90136,-108.25871,2006
05-103-10720,XTO Energy Inc,Directional,39.90133,-108.25867,2006
05-103-10729,XTO Energy Inc,Directional,39.88462,-108.262428,2006
05-103-10736,XTO Energy Inc,Directional,39.88466,-108.262424,2006
05-123-23287,Encana Oil & Gas Inc,Directional,40.040562,-105.042679,2006
05-123-23817,Kerr-McGee Oil & Gas Onshore LP,Directional,40.41296,-104.92798,2006
05-123-23881,Bayswater Exploration & Production LLC,Directional,40.407813,-104.655179,2006
05-123-23885,Kerr-McGee Oil & Gas Onshore LP,Directional,40.21651,-104.76645,2006
05-123-24148,Encana Oil & Gas Inc,Directional,40.293346,-104.635938,2006
05-123-24165,Encana Oil & Gas Inc,Directional,40.08645,-105.02919,2006
05-123-24240,Kerr-McGee Oil & Gas Onshore LP,Directional,40.22265,-104.75085,2006
05-123-24248,Noble Energy Inc,Directional,40.434755,-104.856578,2006
05-123-24664,PDC Energy Inc,Directional,40.27715,-104.7997,2006
05-123-27292,Noble Energy Inc,Directional,40.267285,-104.679648,2006
05-123-27367,Kerr-McGee Oil & Gas Onshore LP,Directional,40.16707,-104.97599,2006
05-045-09075,Linn Operating Inc,Directional,39.551067,-108.163152,2007
05-045-10708,Noble Energy Inc,Directional,39.39893,-107.96652,2007
05-045-11466,WPX Energy Rocky Mountain LLC,Directional,39.522511,-107.909502,2007
05-045-11858,Encana Oil & Gas Inc,Directional,39.583269,-108.136754,2007
05-045-12030,Encana Oil & Gas Inc,Directional,39.599139,-108.159544,2007
05-045-12036,Encana Oil & Gas Inc,Directional,39.599175,-108.159278,2007
05-045-12332,Encana Oil & Gas Inc,Directional,39.584126,-108.118853,2007
05-045-12524,Encana Oil & Gas Inc,Directional,39.43441,-107.72723,2007
05-045-12525,Encana Oil & Gas Inc,Directional,39.43434,-107.72712,2007
05-045-12560,Vanguard Operating LLC,Directional,39.48021,-107.61912,2007
05-045-12635,Williams Production Company,Directional,39.640219,-108.264105,2007
05-045-12712,Encana Oil & Gas Inc,Directional,39.605372,-108.102272,2007
05-045-12847,Linn Operating Inc,Directional,39.542268,-108.091153,2007
05-045-12851,Linn Operating Inc,Directional,39.542228,-108.09116,2007
05-045-12904,Berry Petroleum,Directional,39.524918,-108.156073,2007
05-045-12905,Berry Petroleum,Directional,39.524944,-108.156621,2007
05-045-12912,Berry Petroleum,Directional,39.604064,-108.067703,2007
05-045-12912,Berry Petroleum,Directional,39.604064,-108.067703,2007
05-045-13132,Caerus Piceance LLC,Directional,39.387843,-108.080015,2007
05-045-13142,WPX Energy Rocky Mountain LLC,Directional,39.496395,-108.088918,2007
05-045-13240,Caerus Piceance LLC,Directional,39.51957,-108.12205,2007
05-045-13276,WPX Energy Rocky Mountain LLC,Directional,39.526403,-107.578802,2007
05-045-13537,ConocoPhillips,Directional,39.616386,-108.183234,2007
05-045-13538,Encana Oil & Gas Inc,Directional,39.616386,-108.183256,2007
05-045-13540,ConocoPhillips,Directional,39.616461,-108.183269,2007
05-045-13540,Encana Oil & Gas Inc,Directional,39.616461,-108.183269,2007
05-045-13625,Encana Oil & Gas Inc,Directional,39.42568,-108.00337,2007
05-045-13629,Ursa Operating LLC,Directional,39.522167,-107.70881,2007
05-045-13702,OXY USA WTP LP,Directional,39.47415,-108.243482,2007
05-045-13770,Noble Energy Inc,Directional,39.378381,-108.038039,2007
05-045-13770,Caerus Piceance LLC,Directional,39.378381,-108.038039,2007
05-045-13852,OXY USA WTP LP,Directional,39.503127,-108.239538,2007
05-045-13908,Chevron Inc,Directional,39.578885,-108.356192,2007
05-045-14046,Caerus Piceance LLC,Directional,39.45761,-108.15217,2007
05-045-14105,Caerus Piceance LLC,Directional,39.45317,-108.14767,2007
05-045-14110,Encana Oil & Gas Inc,Directional,39.599696,-108.153471,2007
05-045-14245,Marathon Oil,Directional,39.51891,-108.17276,2007
05-045-14245,Marathon Oil,Directional,39.51891,-108.17276,2007
05-045-14251,Marathon Oil,Directional,39.51893,-108.17275,2007
05-045-14287,Ursa Operating LLC,Directional,39.525654,-107.64256,2007
05-045-14287,Antero Resources Piceance Corp,Directional,39.525654,-107.64256,2007
05-045-14365,Petroleum Development Corp,Directional,39.49897,-108.17097,2007
05-045-14379,WPX Energy Rocky Mountain LLC,Directional,39.438289,-108.069859,2007
05-045-14406,Chevron Inc,Directional,39.57471,-108.35359,2007
05-045-14407,Encana Oil & Gas Inc,Directional,39.647921,-108.147845,2007
05-045-14543,Encana Oil & Gas Inc,Directional,39.64544,-108.165182,2007
05-045-14562,Marathon Oil,Directional,39.51895,-108.17274,2007
05-045-14649,Encana Oil & Gas Inc,Directional,39.574369,-108.107797,2007
05-045-14662,Encana Oil & Gas Inc,Directional,39.574369,-108.107795,2007
05-045-14699,Encana Oil & Gas Inc,Directional,39.653567,-108.178367,2007
05-077-08933,Piceance Energy LLC,Directional,39.20574,-107.75524,2007
05-077-09068,OXY USA Inc,Directional,39.232888,-107.939583,2007
05-077-09221,Piceance Energy LLC,Directional,39.23078,-107.73977,2007
05-077-09257,OXY USA Inc,Directional,39.31078,-107.84346,2007
05-077-09388,Piceance Energy LLC,Directional,39.200985,-107.753293,2007
05-081-07187,Redwine Resources Inc,Directional,40.726862,-108.43277,2007
05-081-07373,JW Operating,Directional,40.952172,-108.232058,2007
05-103-10721,XTO Energy Inc,Directional,39.90128,-108.2589,2007
05-103-10732,XTO Energy Inc,Directional,39.884702,-108.26242,2007
05-103-10733,XTO Energy Inc,Directional,39.884741,-108.262415,2007
05-103-10770,XTO Energy Inc,Directional,39.988855,-108.266928,2007
05-103-10818,XTO Energy Inc,Directional,39.893325,-108.203462,2007
05-103-10819,XTO Energy Inc,Directional,39.893348,-108.203418,2007
05-103-10820,XTO Energy Inc,Directional,39.893393,-108.203329,2007
05-103-10821,XTO Energy Inc,Directional,39.893416,-108.203284,2007
05-103-10822,XTO Energy Inc,Directional,39.893371,-108.203373,2007
05-103-10880,XTO Energy Inc,Directional,39.880444,-108.227318,2007
05-103-10881,XTO Energy Inc,Directional,39.880359,-108.227434,2007
05-103-10885,XTO Energy Inc,Directional,39.88033,-108.227474,2007
05-103-10926,XTO Energy Inc,Directional,39.923795,-108.321878,2007
05-103-10929,Whiting Oil & Gas Corp,Directional,39.85558,-108.35997,2007
05-103-10946,XTO Energy Inc,Directional,39.871422,-108.19064,2007
05-103-10972,Petrohunter Operating,Directional,40.04367,-108.04137,2007
05-103-11001,XTO Energy Inc,Directional,39.874083,-108.301402,2007
05-103-11002,XTO Energy Inc,Directional,39.874092,-108.30135,2007
05-103-11006,XTO Energy Inc,Directional,39.874072,-108.301455,2007
05-103-11032,Whiting Oil & Gas Corp,Directional,39.852686,-108.312849,2007
05-123-20716,Encana Oil & Gas Inc,Directional,40.16344,-104.739259,2007
05-123-23761,Synergy Resources,Directional,40.43834,-104.81223,2007
05-123-23762,Synergy Resources,Directional,40.43841,-104.81223,2007
05-123-23843,Noble Energy Inc,Directional,40.38609,-104.72857,2007
05-123-24164,PDC Energy Inc,Directional,40.27758,-104.79369,2007
05-123-24236,Kerr-McGee Oil & Gas Onshore LP,Directional,40.26013,-104.68966,2007
05-123-24254,Kerr-McGee Oil & Gas Onshore LP,Directional,40.2595,-104.86503,2007
05-123-24283,Great Western Oil & Gas LLC,Directional,40.46144,-104.87478,2007
05-123-24464,Synergy Resources,Directional,40.43996,-104.81659,2007
05-123-24490,Kerr-McGee Oil & Gas Onshore LP,Directional,40.21287,-104.73312,2007
05-123-24708,Kerr-McGee Oil & Gas Onshore LP,Directional,40.19466,-104.92277,2007
05-123-24836,Merit Energy,Directional,40.41516,-104.58125,2007
05-123-24874,Kerr-McGee Oil & Gas Onshore LP,Directional,40.21794,-104.96468,2007
05-123-24876,Synergy Resources,Directional,40.43996,-104.81655,2007
05-123-25238,Noble Energy Inc,Directional,40.413019,-104.837525,2007
05-123-25254,Kerr-McGee Oil & Gas Onshore LP,Directional,40.18433,-104.72791,2007
05-123-25981,Synergy Resources,Directional,40.42951,-104.82315,2007
