api_number,incident_id,year,spudyr,LifeYear,direction,operator,latitude,longitude,pathway,leak_over,pathway_detail,cause,material,material_detail,volume_gal,waterimpact,contained,state
30-043-21139,nCS1425131272,2014,2013,1,Horizontal,WPX Energy Production LLC,36.2074242,-107.5172806,Tank,NA,Unknown,Human Error,Crude Oil,Unknown,294,No,Unknown,NM
30-043-21147,nCS1426948950,2014,2013,1,Horizontal,WPX Energy Production LLC,36.16114,-107.43182,Tank,Overflow,Unknown,Human Error,Crude Oil,Unknown,84,No,Unknown,NM
30-043-21149,nJK1329654156,2013,2013,0,Horizontal,WPX Energy Production LLC,36.16973,-107.42988,Tank,Overflow,Unknown,Unknown,Crude Oil,Unknown,210,No,Unknown,NM
30-043-21151,nJK1333053739,2013,2013,0,Horizontal,ENCANA Oil and Gas Inc,36.1915817,-107.4638443,Generator,NA,Unknown,Human Error,Diesel,Unknown,15,No,Unknown,NM
30-045-35315,nJK1325440340,2013,2012,2,Horizontal,ENCANA Oil and Gas Inc,36.26553,-107.91146,Stuffing Box,NA,Unknown,Equipment Failure,Crude Oil,Unknown,630,No,Unknown,NM
30-045-35320,nJK1225055848,2012,2012,0,Horizontal,ENCANA Oil and Gas Inc,36.82573,-108.32455,Blowout,NA,Unknown,Unknown,Crude Oil,Unknown,210,No,No,NM
30-045-35322,nJK1303027463,2013,2012,0,Horizontal,ENCANA Oil and Gas Inc,36.29788,-107.73258,Tank,Overflow,Separator,Equipment Failure,Oil & Saltwater,Unknown,NA,No,Yes,NM
30-045-35467,nJK1416929497,2013,2013,0,Horizontal,ENCANA Oil and Gas Inc,36.291358,-107.730626,Tank,Overflow,Unknown,Unknown,Crude Oil,Unknown,840,No,Yes,NM
30-045-35496,nCS1426954827,2014,2013,0,Horizontal,WPX Energy Production LLC,36.24645,-107.67867,Tank,NA,Valve,Equipment Failure,Saltwater,Unknown,12600,No,Unknown,NM
30-045-35521,nCS1503741454,2014,2014,0,Horizontal,ENCANA Oil and Gas Inc,36.2647362,-107.7139893,Flowline,Leak,Swedge,Equipment Failure,Crude Oil,Unknown,840,No,Unknown,NM
30-045-30582,nJK1206651737,2010,2002,9,Horizontal,CONOCOPHILLIPS Company,36.9617538,-108.0447006,Tank,Leak,Corrosion,Equipment Failure,Saltwater,Unknown,756,No,Yes,NM
30-045-32192,nDGF0509735917,2005,2005,0,Horizontal,WPX Energy Production LLC,36.8983421,-107.4785156,Unknown,NA,Vandalism,Human Error,Diesel,Unknown,30,No,Unknown,NM
30-045-32975,nJK1122141910,2011,2005,5,Horizontal,CONOCOPHILLIPS Company,36.9341278,-107.6173553,Pump,Leak,Unknown,Equipment Failure,Saltwater,Unknown,5166,No,Yes,NM
30-045-33029,nDGF0536157008,2005,2005,0,Horizontal,CONOCOPHILLIPS Company,36.9784546,-107.5979156,Flowline,Leak,Unknown,Equipment Failure,Saltwater,Unknown,3150,No,Unknown,NM
30-015-37860,nMLB1129950667,2011,2010,1,Horizontal,Mewbourne Oil Company,32.6223679,-104.0209274,Tank,NA,Valve,Human Error,Crude Oil,Unknown,630,No,Yes,NM
30-045-32975,nJK1133949619,2011,2005,5,Horizontal,CONOCOPHILLIPS Company,36.9341278,-107.6173553,Pump,Leak,Unknown,Equipment Failure,Saltwater,Unknown,5166,No,Unknown,NM
